"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality.class"
"1",7,0.27,0.36,20.7,0.045,0.045,0.17,1.001,3,0.45,8.8,6,"high"
"2",6.3,0.3,0.34,1.6,0.049,0.014,0.132,0.994,3.3,0.49,9.5,6,"high"
"3",8.1,0.28,0.4,6.9,0.05,0.03,0.097,0.9951,3.26,0.44,10.1,6,"high"
"4",7.2,0.23,0.32,8.5,0.058,0.047,0.186,0.9956,3.19,0.4,9.9,6,"high"
"5",7.2,0.23,0.32,8.5,0.058,0.047,0.186,0.9956,3.19,0.4,9.9,6,"high"
"6",8.1,0.28,0.4,6.9,0.05,0.03,0.097,0.9951,3.26,0.44,10.1,6,"high"
"7",6.2,0.32,0.16,7,0.045,0.03,0.136,0.9949,3.18,0.47,9.6,6,"high"
"8",7,0.27,0.36,20.7,0.045,0.045,0.17,1.001,3,0.45,8.8,6,"high"
"9",6.3,0.3,0.34,1.6,0.049,0.014,0.132,0.994,3.3,0.49,9.5,6,"high"
"10",8.1,0.22,0.43,1.5,0.044,0.028,0.129,0.9938,3.22,0.45,11,6,"high"
"11",8.1,0.27,0.41,1.45,0.033,0.011,0.063,0.9908,2.99,0.56,12,5,"low"
"12",8.6,0.23,0.4,4.2,0.035,0.017,0.109,0.9947,3.14,0.53,9.7,5,"low"
"13",7.9,0.18,0.37,1.2,0.04,0.016,0.075,0.992,3.18,0.63,10.8,5,"low"
"14",6.6,0.16,0.4,1.5,0.044,0.048,0.143,0.9912,3.54,0.52,12.4,7,"high"
"15",8.3,0.42,0.31,19.25,0.04,0.041,0.172,1.0002,2.98,0.67,9.7,5,"low"
"16",6.6,0.17,0.38,1.5,0.032,0.028,0.112,0.9914,3.25,0.55,11.4,7,"high"
"17",6.3,0.48,0.31,1.1,0.046,0.03,0.099,0.9928,3.24,0.36,9.6,6,"high"
"18",6.2,0.26,0.48,1.2,0.029,0.029,0.075,0.9892,3.33,0.39,12.8,8,"high"
"19",7.4,0.34,0.42,1.1,0.033,0.017,0.171,0.9917,3.12,0.53,11.3,6,"high"
"20",6.5,0.31,0.14,7.5,0.044,0.034,0.133,0.9955,3.22,0.5,9.5,5,"low"
"21",6.2,0.26,0.48,1.2,0.029,0.029,0.075,0.9892,3.33,0.39,12.8,8,"high"
"22",6.4,0.31,0.38,2.9,0.038,0.019,0.102,0.9912,3.17,0.35,11,7,"high"
"23",6.8,0.26,0.42,1.7,0.049,0.041,0.122,0.993,3.47,0.48,10.5,8,"high"
"24",7.6,0.26,0.14,1.5,0.042,0.025,0.168,0.9937,3.05,0.51,9.3,5,"low"
"25",6.6,0.27,0.41,1.3,0.052,0.016,0.142,0.9951,3.42,0.47,10,6,"high"
"26",7,0.25,0.32,9,0.046,0.056,0.245,0.9955,3.25,0.5,10.4,6,"high"
"27",6.9,0.24,0.35,1,0.052,0.035,0.146,0.993,3.45,0.44,10,6,"high"
"28",7,0.28,0.39,8.7,0.051,0.032,0.141,0.9961,3.38,0.53,10.5,6,"high"
"29",7.4,0.27,0.48,1.1,0.047,0.017,0.132,0.9914,3.19,0.49,11.6,6,"high"
"30",7.2,0.32,0.36,2,0.033,0.037,0.114,0.9906,3.1,0.71,12.3,7,"high"
"31",8.5,0.24,0.39,10.4,0.044,0.02,0.142,0.9974,3.2,0.53,10,6,"high"
"32",8.3,0.14,0.34,1.1,0.042,0.007,0.047,0.9934,3.47,0.4,10.2,6,"high"
"33",7.4,0.25,0.36,2.05,0.05,0.031,0.1,0.992,3.19,0.44,10.8,6,"high"
"34",6.2,0.12,0.34,1.5,0.045,0.043,0.117,0.9939,3.42,0.51,9,6,"high"
"35",5.8,0.27,0.2,14.95,0.044,0.022,0.179,0.9962,3.37,0.37,10.2,5,"low"
"36",7.3,0.28,0.43,1.7,0.042,0.021,0.123,0.9905,3.19,0.42,12.8,5,"low"
"37",6.5,0.39,0.23,5.4,0.051,0.025,0.149,0.9934,3.24,0.35,10,5,"low"
"38",7,0.33,0.32,1.2,0.053,0.038,0.138,0.9906,3.13,0.28,11.2,6,"high"
"39",7.3,0.24,0.39,17.95,0.057,0.045,0.149,0.9999,3.21,0.36,8.6,5,"low"
"40",7.3,0.24,0.39,17.95,0.057,0.045,0.149,0.9999,3.21,0.36,8.6,5,"low"
"41",6.7,0.23,0.39,2.5,0.042,0.063,0.158,0.9937,3.11,0.36,9.4,6,"high"
"42",6.7,0.24,0.39,2.9,0.042,0.063,0.157,0.9937,3.1,0.34,9.4,6,"high"
"43",7,0.31,0.26,7.4,0.069,0.028,0.16,0.9954,3.13,0.46,9.8,6,"high"
"44",6.6,0.24,0.27,1.4,0.057,0.033,0.152,0.9934,3.22,0.56,9.5,6,"high"
"45",6.7,0.23,0.26,1.4,0.06,0.033,0.154,0.9934,3.24,0.56,9.5,6,"high"
"46",7.4,0.18,0.31,1.4,0.058,0.038,0.167,0.9931,3.16,0.53,10,7,"high"
"47",6.2,0.45,0.26,4.4,0.063,0.063,0.206,0.994,3.27,0.52,9.8,4,"low"
"48",6.2,0.46,0.25,4.4,0.066,0.062,0.207,0.9939,3.25,0.52,9.8,5,"low"
"49",7,0.31,0.26,7.4,0.069,0.028,0.16,0.9954,3.13,0.46,9.8,6,"high"
"50",6.9,0.19,0.35,5,0.067,0.032,0.15,0.995,3.36,0.48,9.8,5,"low"
"51",7.2,0.19,0.31,1.6,0.062,0.031,0.173,0.9917,3.35,0.44,11.7,6,"high"
"52",6.6,0.25,0.29,1.1,0.068,0.039,0.124,0.9914,3.34,0.58,11,7,"high"
"53",6.2,0.16,0.33,1.1,0.057,0.021,0.082,0.991,3.32,0.46,10.9,7,"high"
